$VWVHW,0.00,T,0.00,M,0.00,N,0.00,K*54
$VWVHW,12.00,T,12.00,M,0.00,N,0.00,K*54
$VWVHW,46.00,T,46.00,M,0.00,N,0.00,K*54
$VWVHW,49.00,T,49.00,M,0.00,N,0.00,K*54
$VWVHW,49.00,T,49.00,M,1.00,N,1.85,K*59
$VWVHW,49.00,T,49.00,M,1.00,N,1.85,K*59
$VWVHW,49.00,T,49.00,M,1.00,N,1.85,K*59
$VWVHW,49.00,T,49.00,M,2.00,N,3.70,K*52
$VWVHW,49.00,T,49.00,M,3.00,N,5.56,K*51
$VWVHW,49.00,T,49.00,M,4.00,N,7.41,K*52
$VWVHW,49.00,T,49.00,M,5.00,N,9.26,K*5C
$VWVHW,49.00,T,49.00,M,7.00,N,12.96,K*6F
$VWVHW,49.00,T,49.00,M,9.00,N,16.67,K*6B
$VWVHW,49.00,T,49.00,M,11.00,N,20.37,K*52
$VWVHW,49.00,T,49.00,M,13.00,N,24.08,K*58
$VWVHW,49.00,T,49.00,M,15.00,N,27.78,K*5A
$VWVHW,49.00,T,49.00,M,16.00,N,29.63,K*5D
$VWVHW,49.00,T,49.00,M,18.00,N,33.34,K*5A
$VWVHW,49.00,T,49.00,M,20.00,N,37.04,K*56
$VWVHW,49.00,T,49.00,M,21.00,N,38.89,K*5D
$VWVHW,49.00,T,49.00,M,21.00,N,38.89,K*5D
$VWVHW,49.00,T,49.00,M,21.00,N,38.89,K*5D
$VWVHW,49.00,T,49.00,M,21.00,N,38.89,K*5D
$VWVHW,49.00,T,49.00,M,22.00,N,40.74,K*53
$VWVHW,49.00,T,49.00,M,24.00,N,44.45,K*53
$VWVHW,49.00,T,49.00,M,25.00,N,46.30,K*52
$VWVHW,49.00,T,49.00,M,25.00,N,46.30,K*52
$VWVHW,49.00,T,49.00,M,25.00,N,46.30,K*52
$VWVHW,49.00,T,49.00,M,26.00,N,48.15,K*58
$VWVHW,49.00,T,49.00,M,28.00,N,51.86,K*54
$VWVHW,49.00,T,49.00,M,30.00,N,55.56,K*54
$VWVHW,49.00,T,49.00,M,31.00,N,57.41,K*51
$VWVHW,49.00,T,49.00,M,32.00,N,59.26,K*5D
$VWVHW,49.00,T,49.00,M,34.00,N,62.97,K*59
$VWVHW,49.00,T,49.00,M,35.00,N,64.82,K*5A
$VWVHW,49.00,T,49.00,M,36.00,N,66.67,K*50
$VWVHW,49.00,T,49.00,M,38.00,N,70.38,K*53
$VWVHW,49.00,T,49.00,M,39.00,N,72.23,K*5A
$VWVHW,57.00,T,57.00,M,39.00,N,72.23,K*5A
$VWVHW,64.00,T,64.00,M,39.00,N,72.23,K*5A
$VWVHW,64.00,T,64.00,M,39.00,N,72.23,K*5A
$VWVHW,64.00,T,64.00,M,42.00,N,77.78,K*5D
$VWVHW,64.00,T,64.00,M,44.00,N,81.49,K*50
$VWVHW,64.00,T,64.00,M,45.00,N,83.34,K*59
$VWVHW,64.00,T,64.00,M,48.00,N,88.90,K*51
$VWVHW,64.00,T,64.00,M,47.00,N,87.04,K*5C
$VWVHW,64.00,T,64.00,M,46.00,N,85.19,K*53
$VWVHW,64.00,T,64.00,M,44.00,N,81.49,K*50
$VWVHW,64.00,T,64.00,M,42.00,N,77.78,K*5D
$VWVHW,64.00,T,64.00,M,39.00,N,72.23,K*5A
$VWVHW,64.00,T,64.00,M,39.00,N,72.23,K*5A
$VWVHW,64.00,T,64.00,M,37.00,N,68.52,K*59
$VWVHW,64.00,T,64.00,M,37.00,N,68.52,K*59
$VWVHW,64.00,T,64.00,M,38.00,N,70.38,K*53
$VWVHW,64.00,T,64.00,M,41.00,N,75.93,K*59
$VWVHW,64.00,T,64.00,M,43.00,N,79.64,K*5F
$VWVHW,64.00,T,64.00,M,45.00,N,83.34,K*59
$VWVHW,64.00,T,64.00,M,46.00,N,85.19,K*53
$VWVHW,64.00,T,64.00,M,47.00,N,87.04,K*5C
$VWVHW,64.00,T,64.00,M,48.00,N,88.90,K*51
$VWVHW,64.00,T,64.00,M,49.00,N,90.75,K*52
$VWVHW,64.00,T,64.00,M,52.00,N,96.30,K*5F
$VWVHW,64.00,T,64.00,M,54.00,N,100.01,K*65
$VWVHW,64.00,T,64.00,M,51.00,N,94.45,K*5C
$VWVHW,64.00,T,64.00,M,47.00,N,87.04,K*5C
$VWVHW,64.00,T,64.00,M,43.00,N,79.64,K*5F
$VWVHW,64.00,T,64.00,M,39.00,N,72.23,K*5A
$VWVHW,64.00,T,64.00,M,36.00,N,66.67,K*50
$VWVHW,64.00,T,64.00,M,36.00,N,66.67,K*50
$VWVHW,64.00,T,64.00,M,35.00,N,64.82,K*5A
$VWVHW,64.00,T,64.00,M,31.00,N,57.41,K*51
$VWVHW,64.00,T,64.00,M,29.00,N,53.71,K*5F
$VWVHW,64.00,T,64.00,M,28.00,N,51.86,K*54
$VWVHW,64.00,T,64.00,M,28.00,N,51.86,K*54
$VWVHW,64.00,T,64.00,M,25.00,N,46.30,K*52
